"","X","university","r_status","state","npt4_pub","npt4_priv","costt4_a","grad_debt_mdn","avgfacsal","unemp_rate","year"
"1",1,"Indiana University-Purdue University-Indianapolis","R2","IN",10987,NA,20704,22343,8512,2.900000095,"latest"
"2",2,"University of Kansas","R1","KS",18571,NA,24996,21105,10156,2.5,"latest"
"3",3,"Boston College","R1","MA",NA,33562,70588,16939,15323,2.880000114,"latest"
"4",4,"Oakland University","R2","MI",11560,NA,21231,25000,9452,3.210000038,"latest"
"5",5,"University of Mississippi","R1","MS",13857,NA,24822,19500,9217,3.640000105,"latest"
"6",6,"Missouri University of Science and Technology","R2","MO",14205,NA,22012,24750,10628,3.049999952,"latest"
"7",7,"Washington University in St Louis","R1","MO",NA,27427,71975,16075,14960,3.039999962,"latest"
"8",8,"Montana State University","R1","MT",18036,NA,20464,23500,8875,3.789999962,"latest"
"9",9,"University of Nebraska at Omaha","R2","NE",13511,NA,18849,20250,8377,2.319999933,"latest"
"10",10,"University of Nevada-Las Vegas","R1","NV",10551,NA,17582,18750,10778,3.829999924,"latest"
"11",11,"University of Colorado Boulder","R1","CO",21510,NA,30178,19500,11684,2.730000019,"latest"
"12",12,"University of Southern California","R1","CA",NA,30453,72097,19500,14712,3.670000076,"latest"
"13",13,"Yale University","R1","CT",NA,18770,71290,13000,19093,3.529999971,"latest"
"14",14,"Delaware State University","R2","DE",13789,NA,22627,27000,8272,4.650000095,"latest"
"15",15,"Florida International University","R1","FL",8311,NA,19434,18000,10514,4.420000076,"latest"
"16",16,"Florida State University","R1","FL",10744,NA,21623,19973,11108,3.619999886,"latest"
"17",17,"University of South Florida-Main Campus","R1","FL",9838,NA,20456,18750,10168,3.200000048,"latest"
"18",18,"University of Hawaii at Manoa","R1","HI",15286,NA,23948,19450,12163,3.529999971,"latest"
"19",19,"Mercer University","R2","GA",NA,20828,50850,25000,8639,3.109999895,"latest"
"20",20,"Georgia Southern University","R2","GA",15795,NA,21884,23250,6684,3.420000076,"latest"
"21",21,"Oregon State University","R1","OR",19969,NA,25843,22500,9910,3.930000067,"latest"
"22",22,"University of Memphis","R2","TN",13048,NA,22676,25000,8934,4.099999905,"latest"
"23",23,"Baylor University","R2","TX",NA,32601,60619,24250,9968,3.119999886,"latest"
"24",24,"Texas A & M University-Kingsville","R2","TX",14796,NA,22165,22532,7914,4.679999828,"latest"
"25",25,"The University of Texas at Austin","R1","TX",16505,NA,25228,20000,12940,3.25999999,"latest"
"26",26,"Texas Tech University","R1","TX",17033,NA,23157,21500,9228,3.029999971,"latest"
"27",27,"California Institute of Technology","R1","CA",NA,23820,68901,8700,19993,3.140000105,"latest"
"28",28,"University of California-Santa Cruz","R1","CA",17699,NA,35982,19000,14426,3.660000086,"latest"
"29",29,"Florida Institute of Technology","R2","FL",NA,31900,58508,27000,9694,2.880000114,"latest"
"30",30,"Clark Atlanta University","R2","GA",NA,33276,37382,28500,7467,4.670000076,"latest"
"31",31,"Northwestern University","R1","IL",NA,24840,72960,15000,17189,3.049999952,"latest"
"32",32,"University of Illinois at Urbana-Champaign","R1","IL",17302,NA,30082,19000,12525,3.140000105,"latest"
"33",33,"Indiana University-Bloomington","R1","IN",13428,NA,24326,20500,10467,2.769999981,"latest"
"34",34,"Louisiana State University and Agricultural & Mechanical College","R1","LA",15428,NA,28539,20250,10192,3.650000095,"latest"
"35",35,"Louisiana Tech University","R2","LA",9839,NA,20098,20876,7893,4.519999981,"latest"
"36",36,"Hampton University","R2","VA",NA,28568,40521,26000,7186,4.010000229,"latest"
"37",37,"University of Washington-Seattle Campus","R1","WA",12001,NA,25275,15000,13086,3.619999886,"latest"
"38",38,"Marshall University","R2","WV",8894,NA,19016,23500,7651,3.890000105,"latest"
"39",39,"West Virginia University","R1","WV",12539,NA,21278,23872,10123,3.359999895,"latest"
"40",40,"The University of Alabama","R1","AL",22232,NA,29424,23250,10225,3.25999999,"latest"
"41",41,"University of Alaska Fairbanks","R2","AK",11297,NA,18510,19407,9584,6.559999943,"latest"
"42",42,"University of South Alabama","R2","AL",14871,NA,19835,25000,7239,3.900000095,"latest"
"43",43,"University of Arkansas","R1","AR",15642,NA,22750,21500,9866,3.799999952,"latest"
"44",44,"University of California-Riverside","R1","CA",12743,NA,32843,19000,13408,4.389999866,"latest"
"45",45,"Claremont Graduate University","R2","CA",NA,NA,NA,NA,13883,4,"latest"
"46",46,"University of California-Davis","R1","CA",14729,NA,35252,13000,14603,3.849999905,"latest"
"47",47,"Clemson University","R1","SC",18252,NA,29499,21500,10218,3.049999952,"latest"
"48",48,"East Tennessee State University","R2","TN",11206,NA,19897,20785,7304,3.160000086,"latest"
"49",49,"Tennessee State University","R2","TN",10427,NA,20148,28017,7364,4.239999771,"latest"
"50",50,"Texas Christian University","R2","TX",NA,37513,62669,21000,11766,2.839999914,"latest"
"51",51,"The University of Texas Rio Grande Valley","R2","TX",4166,NA,13534,11661,6192,6.28000021,"latest"
"52",52,"Brigham Young University-Provo","R2","UT",NA,13181,18136,12100,10974,3.349999905,"latest"
"53",53,"Marquette University","R2","WI",NA,29693,54851,24623,9938,2.890000105,"latest"
"54",54,"University of New England","R2","ME",NA,33729,53663,25989,8888,2.75999999,"latest"
"55",55,"Clark University","R2","MA",NA,28455,54760,26000,10859,2.970000029,"latest"
"56",56,"Harvard University","R1","MA",NA,15561,71135,13875,20484,3.460000038,"latest"
"57",57,"Worcester Polytechnic Institute","R2","MA",NA,41390,64730,27000,12477,2.769999981,"latest"
"58",58,"University of Massachusetts-Dartmouth","R2","MA",19516,NA,27142,25763,10873,3.130000114,"latest"
"59",59,"The New School","R2","NY",NA,42812,67295,24250,11585,3.670000076,"latest"
"60",60,"Stony Brook University","R1","NY",14893,NA,24718,19000,12058,3.559999943,"latest"
"61",61,"Wake Forest University","R2","NC",NA,32129,69090,19490,11666,2.670000076,"latest"
"62",62,"University of Cincinnati-Main Campus","R1","OH",22682,NA,27097,21750,9936,2.910000086,"latest"
"63",63,"University of California-Merced","R2","CA",12253,NA,34517,19000,11225,3.849999905,"latest"
"64",64,"Clarkson University","R2","NY",NA,30485,65899,26125,10833,3.589999914,"latest"
"65",65,"CUNY City College","R2","NY",3744,NA,14430,12500,12469,6.389999866,"latest"
"66",66,"Fordham University","R2","NY",NA,36301,67393,25815,13782,3.640000105,"latest"
"67",67,"Rensselaer Polytechnic Institute","R1","NY",NA,36159,70132,25500,12554,3.049999952,"latest"
"68",68,"East Carolina University","R2","NC",16506,NA,21950,24250,8629,3.369999886,"latest"
"69",69,"Case Western Reserve University","R1","OH",NA,32938,67083,23250,11878,3.00999999,"latest"
"70",70,"North Dakota State University-Main Campus","R2","ND",16062,NA,20733,22652,9107,2.859999895,"latest"
"71",71,"Wayne State University","R1","MI",14226,NA,23848,22500,10622,4.650000095,"latest"
"72",72,"University of Nebraska-Lincoln","R1","NE",18086,NA,23936,21000,10936,2.25999999,"latest"
"73",73,"University of New Hampshire-Main Campus","R1","NH",22909,NA,32469,27000,11893,2.50999999,"latest"
"74",74,"Arizona State University-Tempe","R1","AZ",11644,NA,25621,20349,11451,3.150000095,"latest"
"75",75,"Princeton University","R1","NJ",NA,9749,66950,9850,20185,3.529999971,"latest"
"76",76,"Rutgers University-Camden","R2","NJ",13293,NA,26097,22032,11354,3.529999971,"latest"
"77",77,"Seton Hall University","R2","NJ",NA,28903,54967,24500,9807,3.579999924,"latest"
"78",78,"Stevens Institute of Technology","R2","NJ",NA,37598,66642,26247,13258,3.140000105,"latest"
"79",79,"Oklahoma State University-Main Campus","R1","OK",14878,NA,23446,21000,9060,2.950000048,"latest"
"80",80,"University of Pennsylvania","R1","PA",NA,25033,72584,19500,17887,3.400000095,"latest"
"81",81,"Utah State University","R2","UT",13150,NA,18531,14000,9214,3.569999933,"latest"
"82",82,"Old Dominion University","R2","VA",15680,NA,23993,24385,8428,3.039999962,"latest"
"83",83,"North Carolina A & T State University","R2","NC",10046,NA,17639,28360,8722,4.119999886,"latest"
"84",84,"Air Force Institute of Technology-Graduate School of Engineering & Management","R2","OH",NA,NA,NA,NA,NA,NA,"latest"
